,step,time,holdings,price,n_k,rate,step_cost,cumulative_cost
0,0,0.0,100000.0,50.0,,,,0.0
1,1,0.01,82741.14379087763,50.0254881351284,17258.856209122372,1725885.620912237,74898.50081701852,74898.50081701852
2,2,0.02,68460.96875822684,50.01362223329997,14280.17503265079,1428017.5032650789,51276.23924471962,126174.74006173814
3,3,0.03,56645.388600872466,50.049529650546674,11815.580157354372,1181558.0157354372,35104.21012971983,161278.95019145796
4,4,0.04,46869.042433149276,50.138467355389224,9776.34616772319,977634.616772319,24032.682329730807,185311.63252118876
5,5,0.05,38779.981793019484,50.122395887745796,8089.060640129792,808906.0640129792,16453.00714152089,201764.63966270964
6,6,0.06,32087.000497438403,50.106674425004954,6692.981295581081,669298.1295581082,11263.888078945465,213028.5277416551
7,7,0.07,26549.151219765216,50.20004273161597,5537.849277673187,553784.9277673187,7711.36689868822,220739.89464034332
8,8,0.08,21967.071386003463,50.244943295406706,4582.0798337617525,458207.9833761752,5279.276483343427,226019.17112368674
9,9,0.09,18175.806122137914,50.21582701593464,3791.265263865549,379126.5263865549,3614.24382392203,229633.41494760878
10,10,0.1,15038.86987866926,50.247596384488936,3136.9362434686536,313693.62434686534,2474.3463351415057,232107.7612827503
11,11,0.11,12443.332950832708,50.21914243868823,2595.5369278365524,259553.69278365525,1693.961471471556,233801.72275422185
12,12,0.12,10295.756009226132,50.190661759238616,2147.576941606576,214757.6941606576,1159.7024337605492,234961.4251879824
13,13,0.13,8518.826283951703,50.204735263101256,1776.929725274429,177692.9725274429,793.9435208652062,235755.36870884759
14,14,0.14,7048.574304899564,50.08957088542703,1470.2519790521392,147025.19790521392,543.5414257774784,236298.91013462507
15,15,0.15,5832.071000823781,49.98577168965023,1216.5033040757826,121650.33040757825,372.1137256895575,236671.02386031463
16,16,0.16,4825.522252777655,49.951782800708756,1006.5487480461261,100654.87480461261,254.7526614894048,236925.77652180404
17,17,0.17,3992.692305831536,49.89080472600195,832.829946946119,83282.9946946119,174.4061399930109,237100.18266179707
18,18,0.18,3303.5992818953505,49.909487292701684,689.0930239361855,68909.30239361855,119.40013301304715,237219.58279481012
19,19,0.19,2733.4358321073964,49.854863307307966,570.163449787954,57016.3449787954,81.7424877593458,237301.32528256948
20,20,0.2,2261.676072275304,49.77000714528789,471.75975983209264,47175.97598320926,55.961699007126285,237357.28698157662
21,21,0.21,1871.3366510451267,49.857848486567875,390.3394212301771,39033.94212301771,38.31192127384293,237395.59890285047
