,step,time,holdings,price,n_k,rate,step_cost,cumulative_cost
0,0,0.0,100000.0,50.0,,,,0.0
1,1,0.01,67207.8438912579,50.19048762217731,32792.1561087421,3279215.61087421,269651.1794677465,269651.1794677465
2,2,0.02,45168.9428051166,50.129672176437296,22038.901086141297,2203890.1086141295,121798.58702711308,391449.7664948596
3,3,0.03,30357.07256779434,50.385044624118244,14811.870237322262,1481187.023732226,55015.13411171487,446464.9006065745
4,4,0.04,20402.333941318953,50.99176788202484,9954.738626475388,995473.8626475388,24849.754461079607,471314.6550676541
5,5,0.05,13711.968745454773,50.896433940836545,6690.36519586418,669036.519586418,11224.371379736538,482539.0264473906
6,6,0.06,9215.518548863252,50.80165504550772,4496.450196591521,449645.019659152,5069.92988874727,487608.9563361379
7,7,0.07,6193.551320089931,51.432584679903485,3021.967228773321,302196.7228773321,2290.0337317076815,489898.99006784556
8,8,0.08,4162.552302530985,51.73905082181026,2030.9990175589464,203099.90175589465,1034.3840264929274,490933.3740943385
9,9,0.09,2797.561653376966,51.55091981977399,1364.9906491540187,136499.06491540186,467.22032931186965,491400.59442365036
10,10,0.1,1880.180868763285,51.76771449201222,917.3807846136813,91738.07846136813,211.03848332074844,491611.6329069711
11,11,0.11,1263.6290231517164,51.58219327692583,616.5518456115685,61655.18456115685,95.32385182793774,491706.95675879903
12,12,0.12,849.2578212444328,51.395797782697244,414.37120190728365,41437.12019072836,43.05677611179379,491750.0135349108
13,13,0.13,570.7678707362566,51.492513068836026,278.4899505081762,27848.99505081762,19.44829057566337,491769.46182548645
14,14,0.14,383.60077954587734,50.72715417920011,187.1670911903792,18716.70911903792,8.78458724669459,491778.24641273316
15,15,0.15,257.80981308284163,50.03715559845329,125.79096646303572,12579.096646303571,3.967905189124907,491782.2143179223
16,16,0.16,173.26841671305877,49.812219451407806,84.54139636978286,8454.139636978285,1.7922608254371477,491784.00657874777
17,17,0.17,116.44996701736679,49.40707279866161,56.81844969569198,5681.844969569198,0.8095452671601859,491784.8161240149
18,18,0.18,78.2635120444532,49.53276218508597,38.186454972913594,3818.6454972913593,0.36566303870511585,491785.1817870536
19,19,0.19,52.59921899865156,49.16954613880422,25.664293045801635,2566.4293045801633,0.16516612881217116,491785.3469531824
20,20,0.2,35.35080099263461,48.6046203461656,17.248418006016948,1724.8418006016948,0.07460379425659211,491785.4215569767
21,21,0.21,23.758511145439037,49.190876955661764,11.592289847195573,1159.2289847195573,0.033697745158207684,491785.45525472186
22,22,0.22,15.967583081513723,49.100564487735134,7.790928063925314,779.0928063925314,0.015220915237124783,491785.4704756371
